Mata_duree,Turtii_yeroo,Liinkii
Namoota 'jinnii nama keessaa baasna' jechuun haleellaa saalaa dubartootarratti raawwatan,9 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/c87mnllj48vo
Fincaan dhuguun fayyaaf bu'aa yookaan miidhaa qabaa?,8 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/c4n3kvw07x4o
Daa'imni 'Raajii' jedhamteefi kirikira lafaa Siiriyaarra hafte akkam taate?,6 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/cx8yrvxyy85o
Ugaandaatti lakkoofsi dhiirota abbaa ijoollee isa dhugaa ta'uu baruuf qorannoon godhan dabale,5 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/ckdnpekw7k5o
Daawwadhaa: Dargaggoo funyoo lafarraa 185m fagaatee hidhameerra deeme,3 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/c25gwzw150lo
Eertiraa fi Tigiraay keessatti kirkirri lafaa cimaan galmaa'e,2 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/ckrjlpvpr4yo
Namni kobbee har'a itti fayyadamnu kalaqe eenyu?,30 Adooleessa 2023,https://www.bbc.com//afaanoromoo/articles/c13r7m0npn2o
Barattoota yunivarsitii baala hancabbiirraa shayii tolchan,30 Adooleessa 2023,https://www.bbc.com//afaanoromoo/articles/cx90p04qjvro
Sochii salphaa garuu dhiibbaa dhiigaa hir'isuuf qixxee hin qabne lamaan kana beektuu?,29 Adooleessa 2023,https://www.bbc.com//afaanoromoo/articles/cm5jdgyxg09o
Waa'ee qoricha Vayaagiraa akka tasaa argamuun addunyaa jijjiire beektuu?,26 Adooleessa 2023,https://www.bbc.com//afaanoromoo/articles/c29rz5yg024o
Paayilatii Somaaliyaa biyyasaa boombiin akka haleelu ajajame,9 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/cl5e2kplegno
Yakkamaan waggootaaf dhokate suuraa gammachuu kubbaa miilaaf ka'en qabame,6 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/c25g20743qpo
Jaalalleewwan galma lolaan guutame keessa cidha godhatan,6 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/c19ly32x8mlo
Jaartiin ganna 87 hattuu manashee seene ofirraa lolteefi soorte ijoo dubbii taate,5 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/c3g1277m414o
Shamarreen Somaaliyaa fiigicha 'akka qocaatti' tirataa xumurte ijoo dubbii taate,3 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/cd1ev2v9kxyo
'Dubartii ta'uu kiyya dhoksee waggoota jahaaf albuuda qote',31 Adooleessa 2023,https://www.bbc.com//afaanoromoo/articles/c9r11152vp6o
Wantoota ajaa'iboo qaama keenya keessaa kana beektuu?,30 Adooleessa 2023,https://www.bbc.com//afaanoromoo/articles/cw4vjllnmx2o
Meeshaan waliin isaa wallaalame 'samiirraa bu'uu hin oolle' jedhame,1 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/clk33jlm070o
Eegduun dahoo bineensotaa dorgommii idil-addunyaa mo'atte maal himti?,29 Adooleessa 2023,https://www.bbc.com//afaanoromoo/articles/c4nr9d07ed1o
''Abbaa Atoomik boombii'' kan jedhamu Roobart Oppanhayimar eenyu?,29 Adooleessa 2023,https://www.bbc.com//afaanoromoo/articles/cmlxk99w32jo
Sababoota shan addunyaan waa'ee fonqolcha Niijeer akka yaaddoftu taasisan,9 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/ck5l6xdd14do
Qabxiilee torba dhimma harma hosiisuu irratti beekuu qabnu,7 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/c3gz3jlwwj0o
'Kaannisni sababa jijjiirama qilleensaan dursanii dammaquun walhormaata biqiltootaa miidha',5 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/cn3j0p2xng0o
"Araada geemii ijoollee maatiifi hawaasarraa adda baasaa, rakkoo fayyaa yaadddessaa ta'aa jiru",5 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/c1wvnjqnz4no
Sababoonni bu'uuraa rakkoo Bataskaana Ortodoksii duuba jiran maali?,31 Adooleessa 2023,https://www.bbc.com//afaanoromoo/articles/cl4mm7p563lo
Dhibeen asmii ganna keessa maaliif namatti hammaata?,27 Adooleessa 2023,https://www.bbc.com//afaanoromoo/articles/c0k45wy8xxgo
Gabaa fi dhiyeessiin bunaa Itoophiyaa maaliif hir'ate?,25 Adooleessa 2023,https://www.bbc.com//afaanoromoo/articles/cql47e7j42wo
Lammii Itoophiyaa qorattoota gara hawaa imalan wal'aanuuf barachaa jiruun walbaraa,24 Adooleessa 2023,https://www.bbc.com//afaanoromoo/articles/cged50we5xyo
Barruu karaa salphaan Hubannoo Namtolchee (AI) hubachuuf gargaaru,21 Adooleessa 2023,https://www.bbc.com//afaanoromoo/resources/idt-74697280-e684-43c5-a782-29e9d11fecf3
Waa'ee Waraqaa Eenyummaa Biyyaalessaa Itoophiyaan yeroo jalqabaaf qopheessite baruu qabdan,21 Adooleessa 2023,https://www.bbc.com//afaanoromoo/articles/cql403gpw11o
